"ngram"	"n"
"皮"	95
"西瓜"	95
"角"	95
"它们"	94
"遇见"	94
"不要"	93
"汤"	93
"路边"	93
"茯苓"	91
"世界"	90
"东西"	90
"王"	90
"蒲公英"	90
"首"	90
"产品"	89
"仙"	89
"听"	89
"荆"	89
"季节"	88
"之一"	87
"比"	87
"灵芝"	87
"连"	87
"丹"	86
"们"	86
"回来"	86
"福"	86
"跟"	86
"酒"	86
"丁"	85
"但是"	84
"发"	84
"校园"	84
"胡"	84
"区"	83
"古代"	83
"属"	83
"称为"	83
"不是"	82
"姜"	82
"收购"	82
"竟"	82
"美"	82
"儿"	81
"哦"	81
"株"	81
"等"	81
"纯"	81
"那"	81
"间"	81
"一样"	80
"从"	80
"叶子"	80
"如何"	80
"果子"	80
"泡"	80
"优质"	79
"炮制"	79
"车前草"	79
"一味"	78
"十大"	78
"太"	78
"寻找"	78
"羊"	78
"得"	77
"每天"	77
"生长"	77
"用到"	77
"采摘"	77
"铁"	77
"灵感"	76
"记得"	76
"回家"	75
"难"	75
"家"	74
"才"	74
"种子"	74
"藿"	74
"啊"	73
"学习"	73
"找到"	73
"益"	73
"芽"	73
"到了"	72
"区别"	72
"它是"	72
"抖出"	72
"蒿"	72
"七"	71
"乡"	71
"全"	71
"开花"	71
"民间"	71
"钱"	70
"食"	70
"古人"	69
"回"	69
"打"	69
"爱"	69
"猫"	69
"都有"	69
"二"	68
"油"	68
"滋"	68
"血"	68
"前"	67
"丝"	66
"九"	66
"夏"	66
"快"	66
"看到"	66
"紫"	66
"谁"	66
"过程"	66
"集"	66
"成"	65
"蓝"	65
"黑"	65
"世界上"	64
"中的"	64
"出"	64
"找"	64
"美味"	64
"已经"	63
"很少"	63
"满"	63
"制"	62
"古法"	62
"招"	62
"煮"	62
"跟着"	62
"想"	61
"毛"	61
"男孩"	61
"界"	61
"藏"	61
"问"	61
"云南"	60
"他们"	60
"哪里"	60
"因为"	60
"摘"	60
"毒"	60
"作用"	59
"出来"	59
"鱼"	59
"以"	58
"她"	58
"莓"	58
"历史"	57
"懂"	57
"是不是"	57
"紫苏"	57
"遗"	57
"青"	57
"一口"	56
"一起来"	56
"何"	56
"古"	56
"哪"	56
"曼陀罗"	56
"有毒"	56
"没想到"	56
"米"	56
"葵"	56
"飞"	56
"其"	55
"其实"	55
"更"	55
"柏"	55
"紫花"	55
"苍耳"	55
"虫"	55
"边"	55
"针"	55
"别名"	54
"妙"	54
"火"	54
"瓜"	54
"艾"	54
"里面"	54
"不同"	53
"不能"	53
"只"	53
"啥"	53
"好吃"	53
"如果"	53
"山上"	53
"很高"	53
"灵"	53
"神"	53
"那些"	53
"一年"	52
"助"	52
"告诉"	52
"商"	52
"大名鼎鼎"	52
"才能"	52
"技艺"	52
"星"	52
"术"	52
"淫"	52
"狗"	52
"千年"	51
"山药"	51
"柴"	51
"沙"	51
"漂亮"	51
"碎"	51
"起来"	51
"之道"	50
"事"	50
"仲"	50
"女"	50
"石头"	50
"过的"	50
"雪"	50
"零食"	50
"传"	49
"内"	49
"决"	49
"心"	49
"材"	49
"麦"	49
"3"	48
"一些"	48
"万"	48
"三大"	48
"也有"	48
"兰"	48
"方"	48
"活"	48
"百合"	48
"线"	48
"鬼"	48
"人的"	47
"夏天"	47
"天门"	47
"收"	47
"月"	47
"有人"	47
"热门"	47
"盘"	47
"终于"	47
"草本"	47
"走"	47
"越来越"	47
"黄金"	47
"宝贝"	46
"料"	46
"气"	46
"法"	46
"经"	46
"觉得"	46
"都会"	46
"长得"	46
"卖"	45
"大黄"	45
"应该"	45
"样"	45
"深山"	45
"艾草"	45
"重"	45
"陆"	45
"2021"	44
"一花"	44
"再"	44
"几个"	44
"只是"	44
"大山"	44
"山野"	44
"才是"	44
"时间"	44
"枸杞"	44
"炒"	44
"病"	44
"真"	44
"神农"	44
"那么"	44
"不仅"	43
"中华"	43
"别"	43
"孩子"	43
"嵩山"	43
"手"	43
"杜"	43
"治"	43
"绝"	43
"葛根"	43
"蓟"	43
"随"	43
"双"	42
"古老"	42
"基地"	42
"处"	42
"年轻"	42
"快乐"	42
"海"	42
"粉"	42
"红花"	42
"菊"	42
"萝"	42
"记忆"	42
"一点"	41
"于"	41
"功劳"	41
"块"	41
"如"	41
"有点"	41
"桃"	41
"猪"	41
"甘草"	41
"竟是"	41
"端午"	41
"藦"	41
"身边"	41
"一般人"	40
"书"	40
"南"	40
"因"	40
"处理"	40
"岁"	40
"很有"	40
"楼"	40
"的是"	40
"知"	40
"胆"	40
"解"	40
"身"	40
"车"	40
"仁"	39
"你有"	39
"保护"	39
"全身"	39
"关注"	39
"分"	39
"半夏"	39
"女人"	39
"枝"	39
"每"	39
"画"	39
"蕨"	39
"蘑菇"	39
"金银"	39
"马齿苋"	39
"冷"	38
"动物"	38
"可惜"	38
"可能"	38
"合"	38
"图片"	38
"景"	38
"更多"	38
"杂草"	38
"板"	38
"肾"	38
"蒌"	38
"买"	37
"功效"	37
"啦"	37
"多年生"	37
"居然"	37
"教"	37
"枯草"	37
"热"	37
"由来"	37
"精"	37
"yao"	36
"三七"	36
"不起眼"	36
"人物"	36
"化"	36
"墨"	36
"干燥"	36
"探"	36
"比较"	36
"流量"	36
"清"	36
"用途"	36
"纸"	36
"茎"	36
"荠"	36
"辨别"	36
"阳"	36
"一颗"	35
"十"	35
"又是"	35
"尝"	35
"方法"	35
"明子"	35
"牛膝"	35
"珠"	35
"生命"	35
"笔"	35
"衣"	35
"赶"	35
"赶集"	35
"陈皮"	35
"需要"	35
"霜"	35
"鸡蛋"	35
"30"	34
"一把"	34
"一枝花"	34
"万物"	34
"仙草"	34
"位"	34
"奇花异草"	34
"少"	34
"市"	34
"当地"	34
"性"	34
"成为"	34
"极"	34
"水果"	34
"熟悉"	34
"细"	34
"蝉"	34
"上山"	33
"为何"	33
"做的"	33
"光"	33
"四大"	33
"少了"	33
"思"	33
"感觉"	33
"成熟"	33
"户外"	33
"捡"	33
"日"	33
"条"	33
"独"	33
"秋天"	33
"胶"	33
"菊花"	33
"行"	33
"身体"	33
"达"	33
"附子"	33
"风光"	33
"侧"	32
"关于"	32
"只有"	32
"吃了"	32
"妙用"	32
"很好"	32
"最贵"	32
"有着"	32
"松"	32
"玉"	32
"盐"	32
"请"	32
"贵州"	32
"送"	32
"适合"	32
"锁"	32
"一眼"	31
"他的"	31
"价"	31
"全民"	31
"巴"	31
"技"	31
"物种"	31
"独特"	31
"田间"	31
"相信"	31
"秘密"	31
"第一"	31
"肉"	31
"脚"	31
"膏"	31
"门"	31
"云"	30
"五味子"	30
"人生"	30
"伞"	30
"各种"	30
"天南星"	30
"好的"	30
"川"	30
"常用"	30
"更是"	30
"根茎"	30
"梅"	30
"烧"	30
"真的是"	30
"秋"	30
"竟然是"	30
"糖"	30
"结"	30
"结果"	30
"茅"	30
"野草"	30
"鹤"	30
"1000"	29
"一次"	29
"下去"	29
"也可以"	29
"剧"	29
"包"	29
"可是"	29
"吃掉"	29
"奇妙"	29
"孙"	29
"小时"	29
"当归"	29
"春"	29
"桔梗"	29
"田"	29
"白头翁"	29
"看完"	29
"真正"	29
"祝"	29
"美丽"	29
"老一辈"	29
"臭"	29
"苍"	29
"菖蒲"	29
"蚕"	29
"贞"	29
"远志"	29
"一条"	28
"一棵"	28
"也能"	28
"余"	28
"便"	28
"党"	28
"凉"	28
"口"	28
"品"	28
"婆"	28
"师"	28
"常常"	28
"归"	28
"拿"	28
"李时珍"	28
"正"	28
"此"	28
"漆"	28
"美好"	28
"芦"	28
"菟"	28
"葱"	28
"蒲"	28
"蓬"	28
"誉"	28
"乡野"	27
"五指"	27
"元"	27
"六"	27
"冬天"	27
"加工"	27
"厉害"	27
"学会"	27
"容易"	27
"山林"	27
"张"	27
"方式"	27
"桑葚"	27
"物"	27
"猴"	27
"神仙"	27
"贼"	27
"连翘"	27
"金沙"	27
"错过"	27
"锦"	27
"面"	27
"不可"	26
"东方"	26
"中国人"	26
"人间"	26
"以前"	26
"佛"	26
"千金"	26
"博大精深"	26
"取"	26
"哈哈"	26
"寄生"	26
"寻"	26
"尾"	26
"找了"	26
"救"	26
"数"	26
"旱"	26
"是好"	26
"有意思"	26
"村民"	26
"母亲"	26
"每年"	26
"爬山"	26
"砂"	26
"神秘"	26
"秘"	26
"绿"	26
"股"	26
"蒜"	26
"补养"	26
"这里"	26
"邈"	26
"那边"	26
"都在"	26
"铜"	26
"银"	26
"长大"	26
"颜色"	26
"鱼腥"	26
"鹅"	26
"20"	25
"一天"	25
"不懂"	25
"之后"	25
"仙人"	25
"企"	25
"似"	25
"使用"	25
"假"	25
"划"	25
"千"	25
"只为"	25
"哈"	25
"场"	25
"夏日"	25
"情"	25
"所"	25
"所以"	25
"振兴"	25
"普通"	25
"本"	25
"桑树"	25
"欢"	25
"死"	25
"泥"	25
"浑身"	25
"狼"	25
"珍珠"	25
"甜"	25
"眼"	25
"籽"	25
"粮"	25
"肝"	25
"背后"	25
"能量"	25
"茜"	25
"萝卜"	25
"虎杖"	25
"蛤蟆"	25
"观音"	25
"豆"	25
"资源"	25
"都要"	25
"重要"	25
"长满"	25
"一生"	24
"丝瓜"	24
"乌龟"	24
"二十四节气"	24
"分辨"	24
"化石"	24
"医生"	24
"听说"	24
"嘴"	24
"垂"	24
"大全"	24
"如此"	24
"字"	24
"小朋友"	24
"岗"	24
"帮助"	24
"成了"	24
"或"	24
"扁"	24
"扬"	24
"扶"	24
"据说"	24
"断"	24
"曾"	24
"曾经"	24
"欢迎"	24
"深处"	24
"温"	24
"盆"	24
"绞"	24
"脸"	24
"苘"	24
"蓖麻"	24
"记载"	24
"误"	24
"走进"	24
"起"	24
"通"	24
"4"	23
"一只"	23
"么"	23
"人们"	23
"你来"	23
"到底是"	23
"卷"	23
"品种"	23
"堪"	23
"如今"	23
"实在"	23
"已"	23
"意外"	23
"戟"	23
"最早"	23
"杆"	23
"构"	23
"样子"	23
"根部"	23
"煲"	23
"牛蒡"	23
"瓦"	23
"生姜"	23
"男子"	23
"相"	23
"石斛"	23
"竹子"	23
"第一次"	23
"老鼠"	23
"蓼"	23
"蛋"	23
"豆腐"	23
"路"	23
"这边"	23
"除了"	23
"饭"	23
"na"	22
"中秋"	22
"丸"	22
"伤"	22
"作为"	22
"切"	22
"原来是"	22
"变成"	22
"同"	22
"壳"	22
"官"	22
"家里"	22
"尽"	22
"帮"	22
"平凡"	22
"应用"	22
"开始"	22
"微光"	22
"怎样"	22
"感谢"	22
"扎"	22
"拍摄"	22
"放"	22
"日常"	22
"春季"	22
"最近"	22
"树皮"	22
"点亮"	22
"爪"	22
"特点"	22
"玩"	22
"破"	22
"科学"	22
"简单"	22
"续"	22
"脑"	22
"荔枝"	22
"落"	22
"葫芦"	22
"薄荷"	22
"蝴蝶"	22
"试"	22
"过年"	22
"选"	22
"醋"	22
"靠"	22
"食用"	22
"鲜"	22
"一支"	21
"习俗"	21
"产"	21
"介绍"	21
"以后"	21
"佳品"	21
"八"	21
"刀"	21
"半"	21
"只能"	21
"嘛"	21
"园"	21
"地球"	21
"希望"	21
"必备"	21
"悠久"	21
"惊"	21
"最大"	21
"有些"	21
"歌曲"	21
"泡水"	21
"灯"	21
"灯笼"	21
"玉米"	21
"白色"	21
"皇帝"	21
"相似"	21
"老祖宗"	21
"花开"	21
"英"	21
"蜜"	21
"观赏"	21
"辣"	21
"道"	21
"都能"	21
"酢浆草"	21
"阿"	21
"一片"	20
"不但"	20
"值"	20
"千里"	20
"又有"	20
"变"	20
"可见"	20
"呦"	20
"命名"	20
"唯一"	20
"奇"	20
"奶奶"	20
"好多人"	20
"好看"	20
"学名"	20
"差点"	20
"常"	20
"弘"	20
"得到"	20
"感受"	20
"技巧"	20
"春草"	20
"李"	20
"桂花"	20
"樱"	20
"洗"	20
"洞"	20
"熬"	20
"版"	20
"百年"	20
"穿越"	20
"绝技"	20
"而且"	20
"自"	20
"良"	20
"芋"	20
"芭蕉"	20
"菠菜"	20
"论"	20
"诗词"	20
"转"	20
"金刚"	20
"闻"	20
"香料"	20
"11"	19
"三味"	19
"三年"	19
"不换"	19
"之中"	19
"九大"	19
"兰花"	19
"关系"	19
"北"	19
"同源"	19
"向"	19
"命"	19
"在家"	19
"城市"	19
"奖"	19
"女孩"	19
"好处"	19
"好好"	19
"小草"	19
"广"	19
"强"	19
"很像"	19
"很大"	19
"愁"	19
"我国"	19
"房子"	19
"挺"	19
"收藏"	19
"敢"	19
"断肠"	19
"明"	19
"曲"	19
"木贼"	19
"来到"	19
"枫"	19
"柳"	19
"梨"	19
"槐"	19
"毛桃"	19
"治病"	19
"泽"	19
"清明"	19
"热点"	19
"牙"	19
"疫"	19
"睡"	19
"确认"	19
"箭"	19
"红色"	19
"纲目"	19
"络"	19
"老虎"	19
"肯定"	19
"芩"	19
"芪"	19
"苏"	19
"苹果"	19
"蒙"	19
"西"	19
"诊"	19
"赛"	19
"赤"	19
"近"	19
"野山"	19
"针灸"	19
"锅"	19
"顶"	19
"饮"	19
"马鞭"	19
"50"	18
"一座"	18
"一般"	18
"三月"	18
"不用"	18
"不过"	18
"亿"	18
"作"	18
"出了"	18
"到底有"	18
"单"	18
"名医"	18
"因此"	18
"地区"	18
"夜"	18
"山东"	18
"岛"	18
"市场"	18
"弹"	18
"愿"	18
"抗"	18
"收获"	18
"整个"	18
"新鲜"	18
"是否"	18
"有了"	18
"来历"	18
"染"	18
"橘"	18
"江"	18
"牛筋"	18
"瑶族"	18
"生存"	18
"病人"	18
"盖"	18
"真是"	18
"眼界"	18
"磨"	18
"神器"	18
"稀有"	18
"第"	18
"经过"	18
"罗"	18
"而是"	18
"耳"	18
"芯"	18
"芷"	18
"茄子"	18
"菇"	18
"葛"	18
"蒸"	18
"蔬菜"	18
"薯"	18
"装"	18
"讨厌"	18
"该"	18
"说说看"	18
"豆科"	18
"贝"	18
"这次"	18
"防风"	18
"须"	18
"颜"	18
"食材"	18
"1"	17
"不多"	17
"也要"	17
"人类"	17
"今年"	17
"代"	17
"伙伴"	17
"你会"	17
"偶遇"	17
"儿子"	17
"兄弟"	17
"全是"	17
"写"	17
"刚"	17
"刚刚"	17
"到底"	17
"南方"	17
"发明"	17
"口感"	17
"古籍"	17
"可爱"	17
"吴"	17
"哥"	17
"国家"	17
"圆"	17
"女子"	17
"层"	17
"屋"	17
"属于"	17
"巨大"	17
"必"	17
"扇"	17
"拥有"	17
"文王"	17
"无人"	17
"村"	17
"林"	17
"河"	17
"消"	17
"润"	17
"然而"	17
"父亲"	17
"特殊"	17
"特色"	17
"珊瑚"	17
"瓜子"	17
"生物"	17
"用处"	17
"留下"	17
"筋"	17
"篇"	17
"绣"	17
"老头"	17
"至"	17
"至今"	17
"荚"	17
"虽然"	17
"蜂"	17
"覆盆子"	17
"话"	17
"辛"	17
"银杏"	17
"错"	17
"镜头"	17
"陌生"	17
"颗"	17
"风景"	17
"高手"	17
"28"	16
"5"	16
"一斤"	16
"一碗"	16
"不好"	16
"世"	16
"了一"	16
"五月"	16
"使"	16
"傻"	16
"全国"	16
"公"	16
"典故"	16
"再次"	16
"出现"	16
"别的"	16
"匠心"	16
"吹"	16
"咱们"	16
"大力"	16
"失"	16
"奇特"	16
"她的"	16
"好多"	16
"小小的"	16
"居然是"	16
"屠"	16
"岭"	16
"州"	16
"床"	16
"徐"	16
"新年"	16
"时光"	16
"有趣"	16
"来给"	16
"核"	16
"桃花"	16
"楝"	16
"榆"	16
"橘红"	16
"烂"	16
"烟"	16
"爆"	16
"爬"	16
"独活"	16
"瑶"	16
"确实"	16
"祝福"	16
"积"	16
"翻"	16
"翻白"	16
"脉"	16
"芝麻"	16
"苋"	16
"荷"	16
"葡萄"	16
"蓝图"	16
"薏"	16
"虽"	16
"蟹"	16
"衣服"	16
"要注意"	16
"超"	16
"路上"	16
"身上"	16
"选择"	16
"酿"	16
"铃"	16
"问题"	16
"青梅"	16
"香椿"	16
"12"	15
"主"	15
"人人"	15
"价格"	15
"六味"	15
"刻"	15
"北方"	15
"医学"	15
"十万"	15
"华"	15
"华佗"	15
"卿"	15
"厚"	15
"召集令"	15
"同时"	15
"圣"	15
"寒"	15
"小孩"	15
"小花"	15
"山中"	15
"山村"	15
"山茱萸"	15
"岩"	15
"工艺"	15
"怕"	15
"恶"	15
"懂得"	15
"抓"	15
"换"	15
"接骨"	15
"更新"	15
"来自"	15
"枸"	15
"梗"	15
"棒"	15
"欣赏"	15
"气息"	15
"求"	15
"状"	15
"玩具"	15
"白花"	15
"瞬间"	15
"硬"	15
"碰"	15
"禾"	15
"空"	15
"窝"	15
"绒"	15
"绿色"	15
"编"	15
"网"	15
"老家"	15
"自学"	15
"节气"	15
"花粉"	15
"苗"	15
"苡"	15
"讲究"	15
"赏"	15
"赶快"	15
"软"	15
"还阳"	15
"远"	15
"遇"	15
"道地"	15
"配"	15
"重新"	15
"韭菜"	15
"食物"	15
"80"	14
"一位"	14
"一朵"	14
"丁香"	14
"下来"	14
"不到"	14
"不错"	14
"丰富"	14
"乐"	14
"也不"	14
"享受"	14
"以为"	14
"值得"	14
"做成"	14
"先"	14
"八角"	14
"其中"	14
"其它"	14
"凤凰"	14
"剑"	14
"加"	14
"危险"	14
"即将"	14
"历经"	14
"反而"	14
"吃法"	14
"和尚"	14
"城"	14
"壁纸"	14
"复"	14
"奶"	14
"好听"	14
"妈妈"	14
"季"	14
"密"	14
"导致"	14
"将军"	14
"小气"	14
"尖"	14
"平"	14
"并"	14
"并不"	14
"座"	14
"彼岸花"	14
"总是"	14
"惊喜"	14
"想到"	14
"感"	14
"所有"	14
"抢"	14
"拿来"	14
"挂"	14
"指"	14
"明白"	14
"暖"	14
"更好"	14
"最好"	14
"杠"	14
"枣仁"	14
"枣树"	14
"枳"	14
"楮"	14
"歌"	14
"民族"	14
"汁液"	14
"沙漠"	14
"河南"	14
"泻"	14
"洋"	14
"猎人"	14
"瑰"	14
"甚至"	14
"症"	14
"的话"	14
"目"	14
"直接"	14
"看似"	14
"穿"	14
"级"	14
"羽"	14
"能吃"	14
"脾"	14
"艺术"	14
"花朵"	14
"花生"	14
"药方"	14
"薇"	14
"诗"	14
"谁能"	14
"野牛"	14
"长出"	14
"阴"	14
"难得"	14
"雷"	14
"鸡冠花"	14
"鹊"	14
"鹰"	14
"10"	13
"一切"	13
"一根"	13
"一直"	13
"一道"	13
"三枝"	13
"东"	13
"丢"	13
"两用"	13
"中毒"	13
"乾隆"	13
"二十"	13
"仅"	13
"修复"	13
"倒"	13
"兜"	13
"农民"	13
"冬虫夏草"	13
"几乎"	13
"则"	13
"剪"	13
"十分"	13
"原因"	13
"受"	13
"只要"	13
"名叫"	13
"唇形"	13
"器"	13
"回去"	13
"多年"	13
"天下"	13
"女性"	13
"妻子"	13
"媳妇"	13
"嫩"	13
"定"	13
"寓意"	13
"对于"	13
"就有"	13
"尾巴"	13
"工"	13
"差"	13
"广泛"	13
"序"	13
"微"	13
"总"	13
"恐龙"	13
"接"	13
"效果"	13
"整"	13
"日本"	13
"易"	13
"显"	13
"晾"	13
"望"	13
"柑"	13
"标本"	13
"根本"	13
"桂"	13
"梦"	13
"步骤"	13
"水晶"	13
"治愈"	13
"泡茶"	13
"泥巴"	13
"浆"	13
"清楚"	13
"灰"	13
"炖"	13
"爷爷"	13
"牵牛"	13
"犁"	13
"猪油"	13
"现代"	13
"珍惜"	13
"生命力"	13
"甲"	13
"留"	13
"百科"	13
"碱"	13
"究竟"	13
"笑"	13
"经验"	13
"美景"	13
"肠"	13
"肥皂"	13
"背"	13
"胰"	13
"舌"	13
"色"	13
"获得"	13
"萱草"	13
"薤"	13
"见了"	13
"认为"	13
"讲"	13
"轻功"	13
"辛夷"	13
"送给"	13
"都不"	13
"醉"	13
"长寿"	13
"随意"	13
"香味"	13
"鸟"	13
"鸭"	13
"麝香"	13
"鼓"	13
"100"	12
"一代"	12
"一段"	12
"丈夫"	12
"不为"	12
"不敢"	12
"不知"	12
"丑"	12
"于是"	12
"五行"	12
"仅仅"	12
"代表"	12
"令人"	12
"伤寒"	12
"你在"	12
"修"	12
"兔"	12
"全部"	12
"关"	12
"准备"	12
"力"	12
"十种"	12
"博"	12
"历时"	12
"古怪"	12
"号"	12
"含羞草"	12
"哟"	12
"哪个"	12
"团"	12
"地上"	12
"士"	12
"壮"	12
"声"	12
"复杂"	12
"夏至"	12
"天地"	12
"奇怪"	12
"奇葩"	12
"嫩芽"	12
"存在"	12
"完"	12
"宫"	12
"射干"	12
"小心"	12
"工序"	12
"布"	12
"幸运"	12
"底"	12
"忙"	12
"怀"	12
"成药"	12
"我在"	12
"或者"	12
"户"	12
"手工"	12
"找不到"	12
"折"	12
"护肤"	12
"拔"	12
"捕鱼"	12
"揭"	12
"收集"	12
"救下"	12
"斑"	12
"旁"	12
"日记"	12
"最高"	12
"朱砂"	12
"枇杷"	12
"染料"	12
"棉花"	12
"棕"	12
"森林"	12
"棵"	12
"正是"	12
"毒药"	12
"注意"	12
"海洋"	12
"滴水"	12
"漏"	12
"烟火"	12
"爱情"	12
"特征"	12
"现场"	12
"璀璨"	12
"生吃"	12
"痛"	12
"看见"	12
"眼睛"	12
"离谱"	12
"秀"	12
"秋冬"	12
"紫色"	12
"练"	12
"能力"	12
"脱"	12
"艳"	12
"花椒"	12
"茱萸"	12
"莲花"	12
"菊芋"	12
"菌类"	12
"萌"	12
"蕨类"	12
"虫子"	12
"被人"	12
"要求"	12
"读"	12
"读书"	12
"谱"	12
"还魂"	12
"远离"	12
"通过"	12
"那个"	12
"都还"	12
"野百合"	12
"铺"	12
"随便"	12
"雕"	12
"顿"	12
"饮食"	12
"高山"	12
"2"	11
"8"	11
"一杯"	11
"三十"	11
"不去"	11
"不少"	11
"之间"	11
"些"	11
"亮"	11
"仙人掌"	11
"住"	11
"你是"	11
"偷"	11
"先生"	11
"兔子"	11
"公园"	11
"具有"	11
"冲"	11
"创"	11
"制成"	11
"动态"	11
"半边"	11
"即"	11
"原始"	11
"只因"	11
"吃完"	11
"吊"	11
"君子"	11
"咸"	11
"回到"	11
"墙"	11
"备用"	11
"复苏"	11
"大国"	11
"天天"	11
"头条"	11
"夹"	11
"奢侈品"	11
"娘"	11
"婆婆"	11
"安"	11
"家中"	11
"小野"	11
"年前"	11
"弟弟"	11
"待"	11
"怪"	11
"想要"	11
"成功"	11
"成就"	11
"房"	11
"扇子"	11
"拉"	11
"指甲"	11
"插"	11
"收回"	11
"散"	11
"旋"	11
"最终"	11
"有关"	11
"朗朗上口"	11
"期"	11
"朴"	11
"杀"	11
"杉"	11
"枕头"	11
"染色"	11
"款"	11
"消失"	11
"清水"	11
"湿"	11
"炼"	11
"玩过"	11
"环境"	11
"珍"	11
"球"	11
"甘"	11
"礼"	11
"科技"	11
"究竟是"	11
"第二"	11
"精神"	11
"系列"	11
"纱"	11
"罐"	11
"肉桂"	11
"肤"	11
"致敬"	11
"花茶"	11
"苎麻"	11
"苦瓜"	11
"茄"	11
"葎"	11
"著名"	11
"蒺藜"	11
"蓉"	11
"藜"	11
"补充"	11
"表"	11
"许多"	11
"说的"	11
"调理"	11
"谷"	11
"赶紧"	11
"越"	11
"辣椒"	11
"过去"	11
"这位"	11
"都可以"	11
"都没"	11
"酱"	11
"金花"	11
"金钱"	11
"钟"	11
"闲"	11
"韦"	11
"驱"	11
"鹳"	11
"鹿茸"	11
"黄色"	11
"黄莲"	11
"15"	10
"500"	10
"6"	10
"7"	10
"一人"	10
"一件"	10
"一家"	10
"不见"	10
"乐趣"	10
